tokens,NE,alias,notes,score
allowance,P,allowance,,0.045723386340238384
graining,P,graining,,0.022766364092119986
tile,I,tile,,0.02173601483762502
change,I,change,,0.018471094261819088
blanket,I,blanket,,0.018212183673659302
51899,I,,,0.01907029387578891
start,I,production_start,,0.01740878248408594
quality,P,quality,,0.016575193000215833
press,I,press,,0.016370350339500326
color,I,color,,0.013321893948992488
51839,I,,,0.013837738815820531
jam,P,jam,,0.013563803646637812
foreign,P,foreign,,0.012041876285943592
51911,I,,,0.012067069498023242
51858,I,,,0.012678415203666778
jams,P,jam,,0.01173390566517916
51830,I,,,0.01183070985823758
55803,I,,,0.011417839120676848
line,I,line,,0.010608009464002229
cracks,P,crack,,0.010493437609513604
54004,I,,,0.010356882470794394
edge,I,edge,,0.009460954420306958
51903,I,,,0.009541319517637023
patt,I,pattern,,0.00842943983300927
pattern,I,pattern,,0.008394621143704829
misc,U,,,0.008261222239468274
51904,I,,,0.008685307907031878
shade,I,shade,,0.007887345996989441
band,P,banding,,0.007908706209564648
voids,P,voids,,0.008109983070309607
startup,I,production_start,,0.007162741652059762
counter,I,counter,,0.007142763397620718
exp,U,exp,,0.006987073700962953
rejects,P,reject,,0.006691689281840592
51915,I,,,0.006598131905149325
packaging,I,packaging,,0.0064778991127731325
east,I,east,,0.006552628397040386
prod,I,product,,0.0060337077083576105
t3611,I,,,0.006713373139511356
mottle,I,mottle,,0.005921261106702963
51811,I,,,0.006264990101234121
product,I,product,,0.005603308543018093
conditions,I,condition,,0.005651187800818068
51927,I,,,0.006120491392327129
offshade,P,off_shade,,0.00529732317800112
fc,U,fc,,0.005374819550847753
t3603,I,,,0.005396263639596271
t3602,I,,,0.005790612708756786
51908,I,,,0.0056689532886630535
t3601,I,,,0.00520331107244156
setting,I,setting,,0.004976610696632178
packer,I,packer,,0.005123548176376188
t3610,I,,,0.005331766076938422
51804,I,,,0.004972729961775621
counters,I,counter,,0.005021433627588554
set,I,setting,,0.004611731630838139
55805,I,,,0.0047620164100330535
issues,P,fault,,0.004557500628168659
51861,I,,,0.004617564812626881
51860,I,,,0.004469313647308143
51941,I,,,0.004440174852619785
gauge,I,gauge,,0.004277133715949395
51803,I,,,0.004389778064170724
t3608,I,,,0.004753933153870267
51836,I,,,0.00440007673748566
51910,I,,,0.004292761768778374
conveyor,I,conveyor,,0.004147501429974633
center,,,,0.004140945688804371
pc,,,,0.0038309705043677454
pass,,,,0.00394325718024307
blisters,P,blistering,,0.00334321112058683
51810,I,,,0.0037482704018312507
51901,I,,,0.003788308964560189
t3612,I,,,0.0036176617657484133
west,I,west,,0.00333375548931972
55804,I,,,0.0032228217832308355
t3503,I,,,0.003408658962258751
