,date,machine
0,2017-01-24 00:00:00,H27
1,2017-01-23 00:00:00,H27
2,2017-01-13 06:00:00,H27
3,2017-01-05 12:00:00,H27
4,2016-12-23 08:30:00,H27
5,2016-12-09 07:00:00,H27
6,2016-12-01 12:00:00,H27
7,2016-11-23 00:00:00,H27
8,2016-11-08 12:15:00,H27
9,2016-10-25 11:00:00,H27
10,2016-10-19 09:15:00,H27
11,2016-10-04 12:00:00,H27
12,2016-10-03 10:30:00,H27
13,2016-10-03 10:30:00,H27
14,2016-09-16 05:45:00,H27
15,2016-09-12 11:20:00,H27
16,2016-07-12 06:00:00,H27
17,2016-07-12 18:00:00,H27
18,2016-07-07 06:00:00,H27
19,2016-06-28 04:00:00,H27
20,2016-06-27 00:00:00,H27
21,2016-06-22 06:00:00,H27
22,2016-05-19 00:00:00,H27
23,2016-05-03 00:00:00,H27
24,2015-01-11 00:00:00,H27
25,2015-02-27 00:00:00,H27
26,2015-03-31 00:00:00,H27
27,2015-03-31 00:00:00,H27
28,2015-04-17 00:00:00,H27
29,2015-04-24 00:00:00,H27
30,2015-05-13 00:00:00,H27
31,2015-05-13 00:00:00,H27
32,2015-05-27 00:00:00,H27
33,2015-05-28 00:00:00,H27
34,2015-06-25 00:00:00,H27
35,2015-06-26 00:00:00,H27
36,2015-07-01 00:00:00,H27
37,2015-07-29 00:00:00,H27
38,2015-08-13 00:00:00,H27
39,2015-08-21 00:00:00,H27
40,2015-08-25 00:00:00,H27
41,2015-09-02 00:00:00,H27
42,2015-09-02 00:00:00,H27
43,2015-09-11 00:00:00,H27
44,2015-09-16 00:00:00,H27
45,2015-09-21 00:00:00,H27
46,2015-09-23 00:00:00,H27
47,2015-09-24 00:00:00,H27
48,2015-09-25 00:00:00,H27
49,2015-09-25 00:00:00,H27
50,2015-09-26 00:00:00,H27
51,2015-09-28 00:00:00,H27
52,2015-10-20 00:00:00,H27
53,2015-10-21 00:00:00,H27
54,2015-11-10 00:00:00,H27
55,2015-11-12 00:00:00,H27
56,2015-11-13 00:00:00,H27
57,2015-11-17 00:00:00,H27
58,2015-11-18 00:00:00,H27
59,2015-11-23 00:00:00,H27
60,2015-11-24 00:00:00,H27
61,2015-11-25 00:00:00,H27
62,2015-11-30 00:00:00,H27
63,2015-12-03 00:00:00,H27
64,2015-12-28 00:00:00,H27
65,2016-01-07 00:00:00,H27
66,2016-02-04 00:00:00,H27
67,2016-02-23 00:00:00,H27
68,2016-02-24 00:00:00,H27
69,2016-03-05 00:00:00,H27
70,2016-03-31 00:00:00,H27
71,2016-04-01 00:00:00,H27
72,2016-04-19 00:00:00,H27
73,2016-05-02 00:00:00,H27
74,2017-01-25 11:30:00,H5
75,2017-01-25 14:00:00,H5
76,2016-12-08 00:00:00,H5
77,2016-12-05 06:30:00,H5
78,2016-10-27 14:00:00,H5
79,2016-10-19 06:00:00,H5
80,2016-10-13 14:30:00,H5
81,2016-09-24 00:00:00,H5
82,2016-09-19 12:30:00,H5
83,2016-09-16 10:00:00,H5
84,2016-09-14 05:45:00,H5
85,2016-09-10 00:00:00,H5
86,2016-08-15 05:30:00,H5
87,2016-08-09 07:30:00,H5
88,2016-07-21 09:00:00,H5
89,2016-07-18 07:00:00,H5
90,2016-07-13 10:45:00,H5
91,2016-07-11 06:30:00,H5
92,2015-01-14 00:00:00,H5
93,2015-04-15 00:00:00,H5
94,2015-04-15 00:00:00,H5
95,2015-04-16 00:00:00,H5
96,2015-04-20 00:00:00,H5
97,2015-05-04 00:00:00,H5
98,2015-05-28 00:00:00,H5
99,2015-05-28 00:00:00,H5
100,2015-06-26 00:00:00,H5
101,2015-06-30 00:00:00,H5
102,2015-07-09 00:00:00,H5
103,2015-07-30 00:00:00,H5
104,2015-08-05 00:00:00,H5
105,2015-08-21 00:00:00,H5
106,2015-08-27 00:00:00,H5
107,2015-09-11 00:00:00,H5
108,2015-10-30 00:00:00,H5
109,2015-11-04 00:00:00,H5
110,2015-11-06 00:00:00,H5
111,2015-11-13 00:00:00,H5
112,2015-11-25 00:00:00,H5
113,2015-11-30 00:00:00,H5
114,2015-12-04 00:00:00,H5
115,2015-12-12 00:00:00,H5
116,2015-12-22 00:00:00,H5
117,2016-01-04 00:00:00,H5
118,2016-01-09 00:00:00,H5
119,2016-02-01 00:00:00,H5
120,2016-02-09 00:00:00,H5
121,2016-02-11 00:00:00,H5
122,2016-02-17 00:00:00,H5
123,2016-03-11 00:00:00,H5
124,2016-03-30 00:00:00,H5
125,2016-03-31 00:00:00,H5
126,2016-05-03 00:00:00,H5
127,2016-05-05 00:00:00,H5
128,2016-05-06 00:00:00,H5
129,2016-05-31 00:00:00,H5
130,2016-06-04 00:00:00,H5
131,2016-06-04 00:00:00,H5
132,2016-06-07 09:45:00,H5
133,2016-06-09 06:00:00,H5
134,2016-06-10 14:00:00,H5
135,2016-06-12 00:00:00,H5
136,2016-06-13 06:00:00,H5
137,2016-06-14 16:00:00,H5
138,2016-06-16 14:20:00,H5
139,2016-06-20 06:00:00,H5
140,2016-06-20 00:00:00,H5
141,2016-07-05 06:15:00,H5
142,2017-01-18 08:15:00,H24
143,2017-01-12 05:45:00,H24
144,2017-01-12 06:00:00,H24
145,2017-01-03 09:30:00,H24
146,2016-12-21 13:30:00,H24
147,2016-12-12 06:15:00,H24
148,2016-12-02 11:00:00,H24
149,2016-11-30 07:00:00,H24
150,2016-11-30 13:30:00,H24
151,2016-11-28 08:15:00,H24
152,2016-11-23 12:45:00,H24
153,2016-11-22 15:00:00,H24
154,2016-11-21 12:15:00,H24
155,2016-11-16 11:45:00,H24
156,2016-10-25 06:00:00,H24
157,2016-10-21 06:00:00,H24
158,2016-09-26 00:00:00,H24
159,2016-09-09 06:30:00,H24
160,2015-02-27 00:00:00,H24
161,2015-03-23 00:00:00,H24
162,2015-04-15 00:00:00,H24
163,2015-05-12 00:00:00,H24
164,2015-05-13 00:00:00,H24
165,2015-06-10 00:00:00,H24
166,2015-07-15 00:00:00,H24
167,2015-07-20 00:00:00,H24
168,2015-07-24 00:00:00,H24
169,2015-08-14 00:00:00,H24
170,2015-08-18 00:00:00,H24
171,2015-08-19 00:00:00,H24
172,2015-08-21 00:00:00,H24
173,2015-08-26 00:00:00,H24
174,2015-09-03 00:00:00,H24
175,2015-09-04 00:00:00,H24
176,2015-09-09 00:00:00,H24
177,2015-09-09 00:00:00,H24
178,2015-09-10 00:00:00,H24
179,2015-09-16 00:00:00,H24
180,2015-09-30 00:00:00,H24
181,2015-10-05 00:00:00,H24
182,2015-10-05 00:00:00,H24
183,2015-10-14 00:00:00,H24
184,2015-10-29 00:00:00,H24
185,2015-11-06 00:00:00,H24
186,2015-11-09 00:00:00,H24
187,2015-11-12 00:00:00,H24
188,2015-11-17 00:00:00,H24
189,2015-12-01 00:00:00,H24
190,2015-12-07 00:00:00,H24
191,2015-12-18 00:00:00,H24
192,2016-01-11 00:00:00,H24
193,2016-01-14 00:00:00,H24
194,2016-01-22 00:00:00,H24
195,2016-02-03 00:00:00,H24
196,2016-02-19 00:00:00,H24
197,2016-02-19 00:00:00,H24
198,2016-02-19 00:00:00,H24
199,2016-05-10 00:00:00,H24
200,2016-05-25 00:00:00,H24
201,2016-06-06 08:00:00,H24
202,2016-06-12 00:00:00,H24
203,2016-06-30 07:30:00,H24
204,2016-07-18 08:00:00,H24
205,2016-08-02 05:30:00,H24
206,2016-08-10 06:00:00,H24
207,2016-08-17 06:30:00,H24
208,2016-08-22 06:00:00,H24
209,2016-08-25 09:15:00,H24
210,2017-01-25 05:45:00,I5
211,2017-01-24 05:45:00,I5
212,2017-01-16 06:30:00,I5
