token,NE,alias,notes
replaced,S,replace,
broken,P,broken,
st,I,station,
unit,I,unit,
inop,P,inoperable,
motor,I,motor,
spindle,I,spindle,not sure if sp = spindle for sure
leak,P,leak,
valve,I,valve,
repaired,S,repair,
bar,U,bar,
hydraulic,I,hydraulic,
removed,S,remove,
check,S,check,
accumulator,I,accumulator,
coolant,I,coolant,
bearings,I,bearing,
conveyor,I,conveyor,
table,I,table,
sensor,I,sensor,
machine,I,machine,
faults,P,fault,
chip,I,chip,
completed,S,complete,
requested,S,request,
installed,S,install,
pump,I,pump,
screw,I,screw,
adjusted,S,adjust,
base,I,base,
switch,U,switch,
new,U,new,
operator,I,operator,
charged,S,charge,
loader,I,loader,
leaking,P,leak,
pressure,I,pressure,
cleaned,S,clean,
parts,I,part,
loose,P,loose,
alarm,P,alarm,
30bar,,30bar,not sure what to do here
reset,S,reset,
chain,I,chain,
cable,I,cable,
power,U,power,
issue,P,issue,
iemca,I,iemca,
drive,U,drive,
air,I,air,
turret,I,turret,
head,I,head,
belt,I,belt,
clamp,I,clamp,
clutch,I,clutch,
ok,S,ok,
tool,I,tool,
rebuilt,S,rebuild,
fault,P,fault,
oil,I,oil,
cleared,S,clear,
worn,P,worn,
feed,U,feed,
prox,I,prox,
saw,I,saw,
bad,P,broken,
control,U,control,
hp,U,hp,
hose,I,hose,
vogel,I,vogel,
breaker,I,breaker,
line,I,line,
inverter,I,inverter,
collet,I,collet,
filter,I,filter,
brush,I,brush,
swapped,S,swap,
level,U,level,
axis,I,axis,
11,U,11,
low,U,low,
10,U,10,
jammed,P,jam,
index,I,index,not one hundred percent sure here
drill,I,drill,
needs,S,need,
12,U,12,
brushing,I,brush,
contactor,I,contactor,
feeder,I,feeder,
stripped,P,strip,
fitting,I,fitting,
hyd,I,hydraulic,
tank,I,tank,
cleaning,S,clean,
fuse,I,fuse,
flow,I,flow,
track,U,track,
wire,I,wire,
loading,U,load,
stuck,P,stuck,
end,U,end,
position,I,position,
main,U,main,
overload,P,overload,
replace,S,replace,
accumulators,I,accumulator,
connection,I,connector,
lp,I,low_pressure,
alarms,P,alarm,
lube,I,lubrication,
jam,P,jam,
door,I,door,
charge,S,charge,
shaft,I,shaft,
missing,P,missing,
detector,I,detector,
return,U,returning,
wheel,I,wheel,
running,U,running,
transport,U,transport,
ruptured,P,rupture,
stop,U,stop,
forward,U,forward,
xd,I,cross_drill,I think this is cross drill 
cycle,U,cycle,
rebuild,S,rebuild,
cnc,I,cnc,
reported,S,report,
failure,P,failure,
pin,I,pin,
tripping,P,trip,
solenoid,I,solenoid,
damaged,P,broken,
plug,U,plug,
cylinder,I,cylinder,
change,U,change,
indexing,I,index,not one hundred percent sure here
online,U,online,
set,S,set,
offload,I,offload,
gear,I,gear,
chips,I,chip,
50bar,U,50bar,
seals,U,seal,
checked,S,check,
load,U,load,
nok,P,broken,
blown,P,blown,
housing,I,housing,
station,I,station,
auto,U,auto,
gripper,I,gripper,
install,S,install,
pulley,I,pulley,
module,I,module,
rear,I,rear,
