tokens,NE,alias,notes,score
action,X,action,action taken ¯\_(ツ)_/¯,904.5505616668837
taken,X,taken,action taken ¯\_(ツ)_/¯,904.4082502665004
room,I,room,,626.5529628755868
poc,I,point_of_contact,,596.0745392650084
stat,I,thermostat,or freezestat?,592.6176215472185
operation,S,working,,579.8181449657721
replaced,S,replace,,540.3945122145897
too_hot,P,too_hot,,0.00896456282551649
rich,I,Richard,Assume a dude ¯\_(ツ)_/¯,509.6352571229088
text,I,text,,509.4754345527422
set,S,set,Set-point for temps ¯\_(ツ)_/¯,444.7785824217521
too_cold,P,too_cold,,0.0077462537888637936
checked,S,check,,436.0103951095224
adjusted,S,adjust,temp? ¯\_(ツ)_/¯,432.23174448486986
air,I,air,,420.7751066102318
acu,I,air_conditioning_unit,,412.7968280948242
bldg,I,building,,404.55096302535065
unit,I,unit,,402.25649992102655
water,I,water,,383.8275714639858
alarm,P,alarm,"as in, ""alarm went off"" ¯\_(ツ)_/¯",377.53391605154036
temperature,I,temperature,,377.1947442803365
point,U,set_point,"what about if people use this for ""point of contact""",365.7043611811185
verified,S,verify,,360.8989133467289
reset,S,reset,,350.9659132470378
calibrated,S,calibrate,,349.34708840142395
check,S,check,,345.89211176952375
valve,I,valve,,334.31805916356336
heat,I,heat,,310.64242744024415
request,P,request,,308.2926971479298
hot,I,hot,,648.3409571198304
customer,I,customer,,298.4882844744372
office,I,office,,279.73317061831403
101,I,building,,261.7777120546402
fan,I,fan,,258.3117707995703
rm,I,room,,252.4521618880056
diaphragm,I,diaphragm,,224.39001949372752
proper,X,proper,could be operable ¯\_(ツ)_/¯,220.26507778312745
freeze,U,freeze,"didn't select freezer object...only assume ""too_cold"" state",218.61679890124802
cold,U,cold,,539.6431225588118
div,U,division,I really hope so? ¯\_(ツ)_/¯,201.44923265659085
working,U,working,,199.86672471458567
thermostat,I,thermostat,,198.4787695514848
actuator,I,actuator,,195.23225561622485
control,I,controller,,191.03781905078569
leak,P,leak,,186.25845927077802
shop,I,shop,,182.96097312304258
repaired,S,repair,,177.1394015915395
started,U,started,,176.05562475239822
temp,I,temperature,,175.1144272863153
225,I,building,,173.78379965821185
space,I,space,,166.7032446902464
flow,U,flow,,156.77539392723156
220,I,building,,156.82776348352425
hood,I,hood,,155.18289997767607
221,I,building,,153.03633868900863
br,U,br,no clue,149.96874085703402
noise,P,noise,,149.80235832816157
degrees,I,degrees,,149.4823502060885
warm,U,warm,,148.6428371504714
ok,S,ok,,146.26152275889788
adjust,S,adjust,temp? ¯\_(ツ)_/¯,144.35474548898554
lab,I,lab,,142.41894462123312
induction,I,induction,,140.18199936723957
leaking,P,leak,,136.10246533463248
belt,I,belt,,134.5653266555795
exhaust,I,exhaust,,134.46132428470594
replace,S,replace,,133.2548697087947
complete,S,complete,,131.62556839147763
line,I,line,,130.5032443692142
building,I,building,,130.15776387335723
223,I,building,,126.686463077323
70,U,70,,126.33819456967916
area,I,area,,126.16917961312738
repair,S,repair,,125.91441541319077
turned,U,turned,i really dont know the context for this,122.689500625055
new,I,new,,119.9232716354672
belts,I,belt,,117.01149578699643
245,I,building,,116.97081274253988
issue,P,issue,,116.69869644002462
time,I,time,,115.28130064578885
discharge,I,discharge,,115.3347673611112
224,I,building,,114.99697426798096
adjustment,S,adjust,temp? ¯\_(ツ)_/¯,114.57535230309168
installed,S,install,,112.04640932426449
aok,S,ok,,111.29846736568736
