Original rank,New Tokens,P|S|I|X|R|U (Problem / solution / item / stop-word / redundant / unsure),Preferred label ,Notes
1,room,I,,
2,replace,S,,
3,check,S,,
4,find,S,,
5,action_take,X,,
6,-PRON-,X,,"This means a pronoun. could be ""person"""
7,poc,I,poc,I think this is point of contact
8,unit,I,,
9,too_hot,P,,
10,temperature,I,,
11,stat,I,thermostat,thermostat or freezestat
12,too_cold,P,,
13,air,I,,
14,hot,R,,probably unknown
15,in_bldg,I,building,
16,leak,P,,
17,valve,I,,
18,request,P,,"as in, check_request?"
19,alarm,P,,
20,customer,I,,
21,check_operation,P,check,
22,adjust,S,,
23,repair,S,,
24,office,I,,
25,system,I,,
26,water,I,,
27,operation,R,,"In the context of ""resuming operation""-->operating"
28,point,I,,"as in ""toward something""?"
29,calibrate_stat,S,calibrate,
30,set_point,I,,"Is this a ? ""to set the point"" or ""a set point""?"
31,fan,I,,
32,belt,I,,
33,room temperature,I,temperature,
34,verify_operation,S,verify,
35,actuator,I,,
36,request check,P,check_request,
37,heat,I,,"unsure, close enough"
38,start,X,,
39,reset,S,,
40,cold,R,,probably unknown
41,verify_proper,S,verify,
42,lab,I,laboratory,
43,verify_proper operation,S,verify,
44,adjust stat,S,adjust,
45,need,P,request,
46,temp,I,temperature,
47,control,I,,"as in ""the controls""?"
48,issue,P,,
49,set,S,,
50,thermostat,I,,
51,adjust_set,S,adjust,
52,rm,U,,"reactive maintenance, room, removed (best guess is room)"
53,damper,I,,
54,due_to,S,is_cause_of,"debating if this is worth doing, for MaxLike, maybe?"
55,air_flow,I,,
56,adjust_set point,S,adjust,
57,area,I,,
58,space,I,,not sure
59,hood,I,,
60,a_c,I,air_conditioning_unit,
61,not_work,P,broken,
62,filter,I,,
63,noise,P,noisy,
64,work,U,,"maybe ""it works""?"
65,freeze_stat,I,,
66,bldg,I,building,
67,supply,I,,
68,induction_unit,I,,
69,ok,X,,
70,acu,I,air_conditioning_unit,
71,check room,S,check,
72,humidity,I,,
73,calibrate,S,,
74,motor,I,,
75,replace_diaphragm,S,replace,
76,time,I,,Not Sure
77,sensor,I,,
78,turn,S,,
79,discharge,I,,
80,air leak,P,leak,
81,instal,S,install,
82,2,X,,
83,restart,S,,
84,calibrate_stat check_operation,S,calibrate,
85,re_heat,I,reheat,My assumption is this a reheat portion of the coil for hvac
86,clean,S,,
87,vent,I,,
88,poc customer,S,poc_customer,
89,action_take find,S,find,
90,run,U,,not sure
91,coil,I,,
92,remove,S,,
93,complete_per,S,complete,
94,make_adjustment,S,adjust,
95,101,I,,
96,complete_per request,S,complete,
97,open,U,,could be problem or solution
98,replace_re,S,replace,
99,room too_hot,P,too_hot,
100,very_cold,P,too_cold,
101,check room temperature,S,check,"maybe, check_request"
102,turn_over,S,,
103,change,S,,
104,reset_alarm,S,reset,
105,pipe_shop,I,,
106,1,X,,
107,blow,U,,not sure
108,high,U,,not sure
109,exhaust,I,,
110,too_warm,P,too_hot,
111,exhaust_fan,I,,
112,ne,X,,
113,normal,P,no_problem,
114,aok,X,,
115,problem,P,,
116,at_this,X,,
117,room too_cold,P,too_cold,
118,low,P,,
119,verify,S,,
120,valve actuator,I,valve,
121,freeze_stat alarm,P,alarm,
122,replace belt,S,replace,
123,s,X,,
124,at_this time,I,now,
125,come,X,,
126,controller,I,,
127,build,S,,
128,attic,I,,
129,action_take replace,S,replace,
130,bearing,I,,
131,bad,P,,
132,request check room,P,check_request,
133,water_detector,I,,
134,replace valve,S,replace,
135,contact,I,,
136,fume_hood,I,,
137,heater,I,,
138,door,I,,
139,water leak,P,leak,
140,water_detection,I,,
141,new,X,,
142,3,X,,
143,temperature in_bldg,I,inside_temperature,
144,clear,S,,
145,cool,U,,
146,too_hot in_bldg,P,too_hot,
147,floor,I,,
148,acu-1,I,air_conditioning_unit,
149,adjust_thermostat,P,adjust,
150,hvac,I,,I am keeping this as hvac since that is a well known acronym in this field
151,return,X,,"feel like this might be a stop word, return usually linked with air, water, steam"
152,electric_shop,I,,
153,building,I,,
154,complete,S,,
155,degree,X,,
156,contractor,I,,
157,control_valve,I,,
158,heat_diaphragm,I,,
159,off_line,P,offline,
160,replace_re heat_diaphragm,S,replace,
161,pump,I,,
162,shop,I,,
163,equipment,I,,
164,diaphragm,I,,
165,fail,P,,
166,cause,X,,"something causes something else, i.e it's P?"
167,down_for,P,down,
168,vav,I,variable_air_volume,
169,confirm,I,poc,not sure
170,raise_set,S,adjust,
171,line,I,,
172,too_cold in_bldg,P,too_cold,
