Original rank,New Tokens,P|S|I|X|R|U (Problem / solution / item / stop-word / redundant / unsure),Preferred label ,Notes
173,raise_set point,S,adjust,
174,pre_heat,I,preheat,
175,pm,S,preventative_maintenance,
176,temperature too_hot,P,too_hot,
177,grad,U,,
178,do_not,X,,
179,stat set_point,I,set_point,
180,repair_control,S,repair,
181,ceiling,I,,
182,space_temperature,I,space_temperature,
183,drain,S,,
184,adjustment,S,adjust,
185,warm,P,hot,
186,service,S,,
187,air_line,I,,
188,out_of,X,,
189,temperature too_cold,P,too_cold,
190,secure,S,,
191,operation poc,I,poc,
192,chilled_water,I,,
193,perform,X,,
194,close,,,not sure
195,room temperature too_hot,P,too_hot,
196,office hot,P,too_hot,
197,cover,U,,could be a cover for something or saying to cover something
198,ddc,I,direct_digital_control,
199,properly,X,,
200,225,I,,
201,adjust stat set_point,S,adjust,
202,adjusted,S,adjust,
203,order,S,,
204,flow,I,airflow,assuming that's the only use-case
205,fabricate,S,,
206,clear_alarm,S,clear,
207,temperature too_hot in_bldg,P,too_hot,
208,for_70*f,I,70F,
209,cold air,I,cold_air,
210,duct,I,,
211,ac,I,air_conditioning_unit,
212,air_handler,I,,
213,speak_with,I,poc,what's the need_guy equivalent?
214,access,,,not sure
215,replace valve actuator,S,replace,
216,room temperature too_cold,P,too_cold,
217,temperature too_cold in_bldg,P,too_cold,
218,verify_operation poc,I,verify,
219,locate,,,
220,stem,I,,
221,reset_freeze,S,reset,
222,office too_hot,P,too_hot,
223,reset_freeze stat,S,reset,
224,acu-4,I,air_conditioning_unit,
225,office too_cold,P,too_cold,
226,verify_proper operation poc,S,verify,
227,repair_control air,S,repair,
228,wall,I,,
229,repair_control air leak,S,repair,
230,224,I,,
231,install,I,install,
232,reheat,I,,"I think in the context of hvac that this is an item, i don't think it would ever occur as a solution"
233,freeze,I,freezestat,freeze could mean freeze stat or part froze
234,room hot,P,hot,
235,220,I,,
236,acu-2,I,acu-2,
237,switch,I,,
238,221,I,,
239,227,I,,
240,come_from,X,,
241,start unit,S,start,
242,odor,P,smell,
243,will_not,P,,
244,245,I,,
245,sponsor,I,,"A ""sponsor"" or ""to sponsor""?"
246,poc_john,I,person,
247,okay,P,no_problem,
248,instal_new,S,install,
249,speak,S,,
250,ahu,I,air_handler_unit,
251,223,I,,
252,room temp,I,room_temperature,
253,vav_box,I,,
254,repair air,S,repair,
255,acu-3,I,acu-3,
256,fix,S,,
257,fan_section,I,,
258,_,X,,
259,_'s,X,,
260,monitor,I,,
261,repair air leak,S,repair,
262,break,P,broken,
263,235,I,,
264,find unit,X,,
265,4,X,,
266,correct,,,
267,adjusted_set,S,adjust,
268,clean_up,S,clean,
269,water_detection alarm,P,alarm,
270,222,I,,
271,70*f,I,70F,
272,acu-9,I,acu-9,
273,hallway,I,,
274,lower,S,,
275,acu-6,I,acu-6,
276,resolve,S,,
277,place,,,a place? to place?
278,adjusted_set point,S,adjust,
279,hot in_bldg,P,too_hot,
280,71*f,I,71F,
281,re_heat valve,S,reheat,
282,6,X,,
283,temperature hot,P,too_hot,
284,replace_re heat,S,replace,
285,acu-5,I,acu-5,
286,compressor,I,,
287,reheat_valve,I,,
288,pulley,I,,
289,proper,X,,
290,shaft,I,,
291,replacement,S,replace,
292,action_take adjust_thermostat,S,adjust,
293,speak_with customer,I,poc,
294,301,I,,
295,tension,I,,
296,airflow,I,,
297,action_take make_adjustment,S,adjust,
298,way,,,
299,section,I,,
300,find room,,,
301,ms,,,
302,72*f,I,72F,
303,hot air,I,hot_air,line 341 in orignal file: AC BLOWING HOT AIR B316
304,hot water,I,hot_water,
305,issue_with,X,,
306,m_slip,,,
307,calibration,S,calibrate,
308,roof,I,,
309,acu-7,I,acu-7,
310,make_adjustment set_point,S,adjust,
311,raise,S,,
312,fault,P,,
313,room temperature hot,P,too_hot,
314,outside,I,,
315,computer,I,,
316,make_noise,P,noise,
317,outage,P,,
318,reset_vfd,S,reset,
319,speak customer,I,poc,
320,steam,I,,
321,main,I,,
322,relate,,,
323,use,,,
324,5,X,,
325,smell,P,,
326,leaking,P,leak,
327,work_properly,,,
328,heating,,,
329,water_present,,,
330,replace_diaphragm calibrate_stat,S,replace,
331,report,,,
332,pressure,I,,
333,induction_unit valve,,,
334,receive,,,
335,as_need,X,,
336,proper_operation,,,
337,supply air,I,supply_air,
338,adjustment_make,,,
339,power_plant,I,,
340,day,,,
341,replace stat,S,replace,
342,read,,,
343,lower_set,,,
344,for_72*f,,,
345,serve,,,
346,lower_set point,,,
347,room_temperature-,,,
348,water_pump,,,
349,corridor,,,
350,heat valve,I,heat_valve,
351,safety,,,
352,very_cold in_bldg,,,
353,stat poc,,,
354,stat set,S,set,
355,this_time,,,
356,too_hot rm,P,too_hot,
357,floor_drain,I,,
358,replace_re heat valve,,,
359,preheat,,,
360,office cold,P,too_cold,
361,receive_water,,,
362,clean_up water,,,
363,mr,,,
364,replace filter,S,replace,
365,hot water_pump,,,
366,temperature hot in_bldg,,,
367,present,,,
368,window,I,,
369,on_computer,X,,
370,repair leak,S,repair,
371,power_bump,,,
372,reset_fault,S,reset,
373,panel,I,,
374,action_take adjust,,,
375,talk,X,poc,
376,off_due,,,
377,sound,,,
378,duct_work,I,,
379,inspect,S,,
380,unit down_for,,,
381,ventilation,I,,
382,drive,,,
383,blow cold,P,cold,
384,schedule,X,,
385,chill_water,I,,
386,water_detector alarm,,,
387,good,,,
388,reinstall,S,,
389,currently,,,
390,too_hot room,P,too_hot,
391,temperature very_cold,,,
392,free_stuck,,,
393,find issue,,,
394,start system,S,start,
395,-PRON- office,X,,
396,ac_unit,I,air_conditioning_unit,
397,poc_herb,,,
398,set_point poc,,,
399,turn_over pipe_shop,,,
400,acu-10,I,air_conditioning_unit,
401,very_warm,P,too_hot,
402,replace induction_unit,,,
403,not_run,P,will_not_run,
404,304,I,,
405,replace motor,S,replace,
406,condensation,P,,
407,calibrate_stat set,,,
408,position,,,
409,alarm action_take,,,
410,alarm clear,,,
411,b,X,,
412,appear,X,,
413,confirm operation,,,
414,start_equipment,S,start,
415,diaphragms,,,
416,acu-8,I,acu-8,
417,restart unit,,,
418,restore,S,,
419,room temperature very_cold,,,
420,with_customer,,,
421,not_able,,,
422,as_well,X,,
423,seal,I,,
424,vacuum_up,,,
425,setting,,,
426,70_degree,I,70F,
427,-PRON-_say,X,,
428,c,X,,
429,216,I,,
430,location,,,
431,board,,,
432,pipe,I,,
433,blow cold air,P,cold,
434,30_action,,,
435,temperature very_cold in_bldg,,,
436,humid,,,
437,week,,,
438,water_converter,,,
439,a_c not_work,P,broken,
440,inside,,,
441,check water,,,
442,hot water_converter,,,
443,226,I,,
444,provide,,,
445,follow_up,,,
446,down_for pm,,,
447,blow hot,P,hot,
448,condition,,,
449,fuse,I,,
450,fan_fail,,,
451,explain,,,
452,stop,,,
453,lower_discharge,S,lower,
454,increase,S,,
455,with_new,X,,
456,need replace,P,bad,
457,a_c unit,I,air_conditioning_unit,
458,check system,S,check,
459,re_heat actuator,,,
460,noise_come,,,
461,okay_at,,,
462,check room_temperature-,,,
463,temp_ok,P,no_problem_detected,
464,problem find,,,
465,f,X,,
466,vacuum_up water,,,
467,too_hot action_take,P,too_hot,
468,unit run,,,
469,okay_at this_time,,,
470,diffuser,I,,
471,check unit,P,check_request,
472,condensate,I,,
473,employee,,,
474,sheet_metal,I,,
475,replace induction_unit valve,,,
476,find water,P,leak,
477,plate,,,
478,control air,S,control,
479,come_out,,,
480,unit heater,,,
481,action_take check,S,check,
482,calibrate thermostat,S,calibrate,
483,t_stat,,,
484,maintenance,,,
485,lab_space,I,,
486,thank,X,,
487,202,I,,
488,stat room,I,thermostat,
489,like,X,,
490,calibrate_stat room,S,calibrate,
491,replace control_valve,,,
492,after_power,,,
493,chiller,,,
494,power,U,,
495,measure,,,
496,possible,,,
497,loose,P,,
498,water floor,,,
499,air_conditioning,I,air_conditioning_unit,
500,booster,I,,
501,basement,I,,
502,chilled_water valve,,,
503,cut,,,
504,vfd,I,variable_fan_drive,
505,off_line start,,,
506,too_cold rm,P,too_cold,
507,room temperature in_bldg,,,
508,poc_ed,,,
509,point stat,,,
510,metal,,,
511,loud,P,,
512,10,X,,
513,grill,I,,
514,free_stuck stem,,,
515,valv_off,,,
516,check hot,,,
517,bump,,,
518,hot room,P,hot,
519,align,S,,
520,temp_back,,,
521,wire,I,,
522,humidty,,,
523,stat verify_operation,,,
524,trip,,,
525,dry,U,,
526,cooling,,,
527,fine,,,
528,unable,P,,
529,replace bearing,,,
530,not_work properly,,,
531,insulation,I,,
532,73*f,I,73F,
533,too_cold room,P,too_cold,
534,poc_robert,,,
535,allow,,,
536,near,,,
537,conference_room,I,,
538,thank_-PRON-,,,
539,now_aok,P,no_problem_detected,
540,blow hot air,P,hot,
541,hot office,,,
542,stat check_operation,,,
543,temp_back normal,,,
544,replace actuator,S,replace,
545,acu-11,I,air_conditioning_unit,
546,lecture_room,,,
547,try,,,
548,room cold,P,too_cold,
549,hand_valv,,,
550,reset_vfd fault,,,
551,too_cold action_take,P,too_cold,
552,follow,,,
553,hot temperature,P,hot,
554,high_humidity,,,
555,poc_mark,,,
556,system find,,,
557,check air_flow,,,
558,phone_message,,,
559,bear,,,
560,leave,,,
561,failure,P,,
562,after_power bump,,,
563,open valve,U,,
564,verify_calibration,,,
565,hot action_take,,,
566,test,I,,
567,desk,,,
568,replace grad,S,replace,
569,add,,,
570,request check room_temperature-,,,
571,hvac_shop,I,,
572,wait,,,
573,for_70*f poc,,,
574,bldg 101,I,101,
575,outside_air,,,
576,alarm reset_alarm,,,
577,replace controller,S,replace,
578,231,I,,
579,clog,P,,
580,7,X,,
581,help,,,
582,hold,,,
583,-PRON-_would,X,,
584,oeg,,,
585,box,,,
586,start fan,,,
587,request check hot,S,check,
588,adjust stat poc,,,
589,pipe_shop repair,,,
590,adjust_set point stat,,,
591,issue find,,,
592,mix_box,I,,
593,design,,,
594,flex_connection,,,
595,today,,,
596,talk customer,,,
597,f.s_on,,,
598,replace_diaphragm re_heat,,,
599,set_point check_operation,S,check,
600,okay_now,P,no_problem_detected,
601,light,,,
602,74*f,I,74F,
603,poc_dan,,,
604,ne heat,,,
605,receive_freeze stat,,,
606,action,X,,
607,calibrate_stat poc,,,
608,can_not,,,
609,receive_freeze,,,
610,hood not_work,,,
611,automation,,,
612,shut_off,,,
613,broken_belt,,,
614,will_need,,,
615,find stat,,,
616,no_other,,,
617,gfp,,,
618,entire,X,,
619,check water leak,P,check_request,
620,investigate,S,inspect,
621,bldg_225,I,225,
622,renovation,,,
623,air temperature,I,air_temperature,
624,noisy,P,noise,
625,air_balance,S,balance,
626,serve_area,,,
627,point poc,,,
628,customer -PRON-,,,
629,unit find,,,
630,communication,,,
631,restroom,I,,
632,broken,P,,
633,8,X,,
634,supply fan,I,supply_fan,
635,411,I,,
636,cooler,,,
637,cfm,I,cfm,Cubic feet/min?
638,air_flow in_bldg,,,
639,air blow,,,
640,find -PRON-,,,
641,lab too_hot,P,too_hot,
642,redirect,,,
643,vacuum,S,,
644,rebuild,S,,
645,trailer,,,
646,action_take calibrate_stat,S,calibrate,
647,call_shop,,,
648,message,,,
649,receive_water detection_acu,,,
650,detection_acu,,,
651,poc_michelle,,,
652,mode,,,
653,hood fan,I,hood_fan,
654,hole,,,
655,customer_say,,,
656,know,,,
657,explain customer,,,
658,turn_over electric_shop,,,
659,hot temperature in_bldg,,,
660,make_adjustment thermostat,,,
661,unit restart,S,restart,
662,register,,,
663,alarm come,,,
664,new_motor,,,
665,furniture,,,
666,72_degree,I,72F,
667,yesterday,X,,
668,replace sensor,S,replace,
669,address,,,
670,water find,,,
671,make_adjustment set_point check_operation,,,
672,tighten,S,,
673,send,,,
674,secured,S,,
675,hot_deck,,,
676,ddc_group,,,
677,20,,,
678,fan motor,,,
679,inform,S,,
680,adjust_thermostat set_point,,,
681,reset start,,,
682,too_cold calibrate_stat,,,
683,frank,,,
684,poc_david,,,
685,cabinet,I,,
686,large,,,
687,loud_noise,,,
688,meeting,,,
689,support,,,
690,find hot,,,
691,replace_diaphram,,,
692,reset_alarm start,,,
693,checked_operation,,,
694,fcu,,,
695,level,,,
696,low_temp,,,
697,1ea,,,
698,morning,,,
699,hv-4,,,
700,turn heat,,,
701,look_into,,,
702,218,I,,
703,leave_customer,,,
704,normal operation,S,normal_operation,
705,actiontaken,,,
706,duplicate_ms,,,
707,check_operation ok,,,
708,freeze_stat alarm reset_alarm,,,
709,set for_70*f,,,
710,valve calibrate_stat,,,
711,too_cold calibrate_stat check_operation,,,
712,find space,,,
713,contractor work,,,
714,find space_temperature,,,
715,check hot temperature,R,check,
716,mech_room,,,
717,cap,I,,
718,blow_out,,,
719,extremely_hot,,,
720,indicate,,,
721,68*f,I,68F,
722,adjust temperature,R,,
723,e,X,,
724,stat verify_proper,,,
725,unit check_operation,,,
726,resent_code,,,
727,adjust discharge,R,adjust,
728,action_take make_adjustment thermostat,,,
729,pan,,,
730,x,X,,
731,hwc,,,
732,look_at,,,
733,control air_line,,,
734,program,,,
735,80_degree,I,80F,
736,heat valve actuator,,,
737,per_request,,,
738,inform_customer,,,
739,find room temperature,,,
740,close_out,,,
741,faulty,P,fault,
742,that_serve,,,
743,condensate_drain,,,
744,material,,,
745,maintain,,,
746,urgent,X,,
747,230,I,,
748,reduce,,,
749,affect,,,
750,from_ceiling,,,
751,trouble,U,,"linked with trouble shot, trouble alarm"
752,bad_bearing,,,
753,action_take issue,,,
754,point on_computer,,,
755,request check air_flow,,,
756,check air,,,
757,stat calibrate,,,
758,repair replace,,,
759,set stat,S,adjust,
760,adjust_set point poc,,,
761,concern,,,
762,valve leak,R,,
763,reading,,,
764,a_wing,,,
765,leak valve,,,
766,bldg_220,,,
767,require,,,
768,booster_fan,,,
769,want,X,,
770,window_unit,,,
771,replace bad,S,replace,
772,defuser,I,,
773,find bad,,,
774,raise_discharge,,,
775,temp room,,,
776,ceiling leak,P,leak,
777,find fan,,,
778,too_hot calibrate_stat,,,
779,actuator calibrate_stat,,,
780,stairwell,I,,
781,lobby,I,,
782,year,,,
783,center,,,
784,closed,U,,
785,fire_damper,,,
786,list,,,
787,work_order,,,
788,11,,,
789,too_hot replace,,,
790,cold temperature,P,cold,
791,stat verify_proper operation,,,
792,room too_warm,,,
793,refrigerator,I,,
794,determine,,,
795,mechanical_room,,,
796,control_board,,,
797,temperature room,,,
798,valve check_operation,,,
799,off_due power_bump,,,
800,actuator verify_operation,,,
801,reset_alarm verify_operation,,,
802,action_take repair,,,
803,temp space,,,
804,drop,,,
805,damper actuator,,,
806,vibration,I,,
807,old,P,,
808,air vent,,,
809,valve replace,,,
810,318,I,,
811,electrical,,,
812,fall,,,
813,drip,P,,
814,note,,,
815,lab hot,,,
816,fan_failure,,,
817,adjust stat room,,,
818,check proper_operation,,,
819,alarm reset_freeze,,,
820,c_wing,,,
821,charge,,,
822,adjust stat verify_operation,,,
823,customer request,S,poc_customer,
824,room_temperature- too_hot,,,
825,point for_70*f,,,
826,fume_hood not_work,,,
827,operation poc customer,,,
828,bldg_221,,,
829,freeze_stat alarm action_take,,,
830,poc_richard,,,
831,217,I,,
832,replace broken_belt,,,
833,find system,,,
834,need repair,P,bad,
835,fumehood_fail,,,
836,plant,,,
837,replace diaphragms,,,
838,small,,,
839,alarm reset_freeze stat,,,
840,check water_detection,,,
841,poc_steve,,,
842,room_temperature- too_hot in_bldg,,,
843,check cold,,,
844,check area,P,check_request,
845,action_take calibrate,,,
846,2ea,X,,
847,actuator poc,,,
848,work_well,,,
849,d,,,
850,215,,,
851,command,,,
852,gate,I,,
853,shut_down,,,
854,operator,,,
855,health_unit,,,
856,no_longer,,,
857,winter,,,
858,control air leak,S,control,
859,lock,,,
860,out_of calibration,,,
861,free,U,,
862,a123,,,
863,poc_sarah,,,
864,rebuild_valve,,,
865,action_take replace_diaphragm,,,
866,from_vent,,,
867,replace_diaphragm check_operation,,,
868,action_take reset,,,
869,stat set_point poc,,,
870,operate,,,
871,ext,,,
872,find acu-1,,,
873,a_little,X,,
874,replace damper,S,replace,
875,lady,,,
876,12,,,
877,front_of,,,
878,f.,X,,
879,roof_leak,,,
880,replace reheat_valve,,,
881,office temperature,I,temperature,
882,leak room,,,
883,hood alarm,,,
884,replace thermostat,S,replace,
885,.,X,,
886,air filter,I,air_filter,
887,make_loud,,,
888,belt replace,S,replace,
889,action_take relate,,,
890,request adjust,,,
891,80,,,
892,extremely,P,extreme,
893,find leak,,,
894,find water_present,,,
895,action_take system,,,
896,poc power_plant,,,
897,bad_motor,,,
898,blower,I,,
899,indicate_that,,,
900,status,,,
901,relocate,,,
902,hvac unit,I,hvac,
903,205,,,
904,wrong,,,
905,spec,,,
906,go_off,,,
907,stick,U,,
908,cole,,,
909,too_hot calibrate_stat check_operation,,,
910,reset_alarm verify_proper operation,,,
911,problem_building room,,,
912,detection,I,,
913,replaced,S,replace,
914,9,,,
915,replace fail,,,
916,reset_alarm verify_proper,,,
917,adjust calibrate_stat,,,
918,electric_shop replace,,,
919,problem_building,,,
920,rain,,,
921,louver,I,,
922,wet,,,
923,hall,,,
924,break_belt,,,
925,office space,,,
926,effort,,,
927,adjust temp,S,adjust,
928,informed_customer,,,
929,related,,,
930,water valve,I,water_valve,
931,b_wing,,,
932,could_not,,,
933,confirm_proper,,,
934,leak find,,,
935,filter_section,,,
936,c.,,,
937,fan_fail alarm,,,
938,screen,I,,
939,-PRON- -PRON-,X,,
940,kitchen,,,
941,acu-13,I,acu-13,
942,s,X,,
943,store,,,
944,233,I,,
945,information,,,
946,load,,,
947,unit discharge,I,discharge,
948,high_pitch,,,
949,range,,,
950,freeze_stat alarm reset_freeze,,,
951,t-2_controller,,,
952,down_for maintenance,,,
953,find issue_with,,,
954,reset_fs,,,
955,room stat,I,thermostat,
956,fan_selection,,,
957,belt_1ea,,,
958,30_action find,,,
959,-PRON- do_not,X,,
960,request check cold,,,
961,too_warm in_bldg,,,
962,time poc,,,
963,320,I,,
964,transducer,I,,
965,deflector,I,,
966,pre_heat section,,,
967,man,,,
968,zone,,,
969,relay,I,,
970,fire,,,
971,acu-12,I,acu-12,
972,actual,,,
973,trap,,,
974,ep_switch,,,
975,219,I,,
976,people,,,
977,humidity high,,,
978,14,,,
979,hear,,,
980,clear_drain,,,
981,low_humidity,,,
982,asap,,,
983,action_take reset_fs,,,
984,forward,,,
985,by_pipe,,,
986,by_pipe shop,,,
987,area find,,,
988,fan_failure alarm,,,
989,stat acu,,,
990,by_ddc,,,
991,action_take replace valve,,,
992,poc_dr,,,
993,site,I,,
994,setpoint,I,set_point,
995,-PRON- ne,X,,
996,able,,,
997,refrigerant,I,,
998,60*f,I,60F,
999,69*f,I,69F,
1000,potts,S,person,
1001,hvac system,,,
1002,phone,,,
1003,thermostat set,I,thermostat,
1004,open damper,,,
1005,off_line due_to,,,
1006,temperature too_warm,,,
1007,replace_diaphrgam,,,
1008,set for_72*f,,,
1009,alarm find,,,
1010,start pump,,,
1011,control_cabinet,,,
1012,b264,,,
1013,hand_valve,,,
1014,elevator,,,
1015,hard,,,
1016,electric,I,,
1017,site_outage,,,
1018,remove replace,,,
1019,trouble_shoot,,,
1020,s office,I,office,
1021,flush,,,
1022,cable,I,,
1023,duplicate,,,
1024,replace belt_1ea,,,
1025,reset unit,S,reset,
1026,may_need,,,
1027,very_loud,,,
1028,temperature set_point,,,
1029,check too_hot,,,
1030,too_hot temperature,,,
1031,poc_mary,,,
1032,at_this time poc,,,
1033,check cold temperature,P,cold,
1034,freeze cold,,,
1035,lab too_cold,,,
1036,check temp,P,check_request,
1037,friday,,,
1038,take_care,,,
1039,action_take adjust stat,,,
1040,calibrate_stat adjust_set,,,
1041,stat for_70*f,,,
1042,ef,,,
1043,899,,,
1044,mark,,,
1045,bathroom,I,,
1046,replace leak,,,
1047,weekend,,,
1048,air come_out,,,
1049,associate_with,,,
1050,air pressure,I,air_pressure,
1051,end_of,,,
1052,pull,,,
1053,water_drip,,,
1054,replace_diaphragm re_heat actuator,,,
1055,by_contractor,,,
1056,unit down_for maintenance,,,
1057,system poc,,,
1058,unit verify_operation,,,
1059,check air_flow in_bldg,,,
1060,actuator replace,,,
1061,calibrated,S,calibrate,
1062,action_take replace belt,,,
1063,not_work in_bldg,,,
1064,replace 2,S,replace,
1065,find noise,,,
1066,unit start,,,
1067,find at_this,,,
1068,for_68*f,,,
1069,receive_freeze stat acu,,,
1070,rest,,,
1071,-PRON-_say -PRON-,X,,
1072,supervisor,,,
1073,detector,I,,
1074,measurement,I,,
1075,kevin,I,person,
1076,purge_mode,,,
1077,zone_3,,,
1078,exist,,,
1079,repair coil,S,repair,
1080,slip,,,
1081,scroll,,,
1082,f.s,,,
1083,starter,I,,
1084,a_few,X,,
1085,w,,,
1086,max,,,
1087,unit replace,,,
1088,burn,,,
1089,reverse,,,
1090,root_cause,,,
1091,control_valve leak,,,
1092,tag,,,
1093,roof_drain,,,
1094,unit in_bldg,,,
1095,poc_kim,,,
1096,3rd_floor,I,,
1097,suspect_that,,,
1098,temp_okay,,,
1099,aware_of,,,
1100,repair_control air_line,,,
1101,due_to pm,,,
1102,enter,,,
1103,68,,,
1104,reset_freeze stat check_operation,,,
1105,for_72*f poc,,,
1106,work perform,,,
1107,action_take find issue,,,
1108,work_fine,,,
1109,look,,,prefer check or inspect
1110,fan run,,,
1111,find hot water_pump,,,
1112,receive_water detection,,,
1113,computer room,,,
1114,instal_new valve,,,
1115,zone_1,,,
1116,deg,,,
1117,handle,,,
1118,man_,,,
1119,man_'s,,,
1120,breaker,I,circuit_breaker,
1121,return air,I,return_air,
1122,acu-18,I,acu-18,
1123,connection,I,,
1124,dirty,,,
1125,ice_machine,,,
1126,direct,,,
1127,piece_of,,,
1128,green_auditorium,,,
1129,fumehood,I,,
1130,dust,,,
1131,reset_f.s,,,
1132,103,,,
1133,additional,,,
1134,for_74*f,,,
1135,find control_valve,,,
1136,valve adjust,,,
1137,bldg 245,I,245,
1138,close_out ms,,,
1139,motor_pulley,,,
1140,find at_this time,,,
1141,tstat,I,thermostat,
1142,check room_temperature- too_hot,,,
1143,check temperature,P,check_request,
1144,verify_operation system,,,
1145,poc_michael,,,
1146,turn_over oeg,,,
1147,check too_cold,,,
1148,point check_operation,,,
1149,check fume_hood,,,
1150,due_to power_bump,,,
1151,poc_paul,,,
1152,riser,I,,
1153,size,,,
1154,closet,,,
1155,pneumatic,,,
1156,ice,,,
1157,clean room,I,clean_room,
1158,for_summer,,,
1159,b112,,,
1160,a56,,,
1161,coil leak,P,leak,
1162,a120,,,
1163,strainer,I,,
1164,calibrate_stat adjust_set point,,,
1165,fabricated,,,
1166,leak repair,,,
1167,hand_valv open,,,
1168,cold room,P,cold,
1169,group,,,
1170,fume_hood alarm,,,
1171,cold action_take,,,
1172,poc_christina,,,
1173,acu_'s,,,
1174,t-3_controller,,,
1175,alarm reset,,,
1176,hot water valve,,,
1177,b_side,,,
1178,stat replace,,,
1179,check system find,,,
1180,adjustment_make poc,,,
1181,acu_,,,
1182,restart check_operation,,,
1183,poc_william,,,
1184,adjust room,S,adjust,
1185,construction_shop,,,
1186,find hand_valv,,,
1187,action_take change,,,
1188,bldg 223,I,223,
1189,condensate_pan,,,
1190,point vav,,,
